"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"chr14-99721608-99741934",9.76563655462478e-273,0.709650870781115,0.813,0.098,8.550889023595e-268,"Memory CD4 T","chr14-99721608-99741934"
"chr14-99695477-99720910",8.10026098656909e-205,0.660047131189236,0.694,0.076,7.09266952244976e-200,"Memory CD4 T","chr14-99695477-99720910"
"chr14-23012859-23028219",6.44777684583813e-186,0.54914864366467,0.834,0.238,5.64573788398433e-181,"Memory CD4 T","chr14-23012859-23028219"
"chr10-8083940-8104354",4.37873268283074e-168,0.567666020264847,0.746,0.162,3.83406212441342e-163,"Memory CD4 T","chr10-8083940-8104354"
"chr7-142501666-142511108",2.59112856908964e-153,0.564827577316255,0.713,0.14,2.26881808638058e-148,"Memory CD4 T","chr7-142501666-142511108"
"chr12-120426014-120428613",4.60016109167569e-144,0.570222317569995,0.646,0.121,4.02794705348215e-139,"Memory CD4 T","chr12-120426014-120428613"
"chr19-19708220-19710393",2.69298007935629e-141,0.627637855982835,0.41,0.028,2.35800028728516e-136,"Memory CD4 T","chr19-19708220-19710393"
"chr6-37482051-37486316",3.27779823999031e-140,0.599630981829462,0.552,0.071,2.87007291691791e-135,"Memory CD4 T","chr6-37482051-37486316"
"chr17-80084198-80086094",3.38658137736366e-131,0.618576545651843,0.421,0.029,2.9653245198334e-126,"Memory CD4 T","chr17-80084198-80086094"
"chr11-128334097-128348572",3.1615686285604e-126,0.562123263372425,0.541,0.082,2.76830110685377e-121,"Memory CD4 T","chr11-128334097-128348572"
"chr6-42737672-42740293",5.12578362156535e-125,0.540297971761145,0.596,0.113,4.48818739687884e-120,"Memory CD4 T","chr6-42737672-42740293"
"chr5-110558944-110560935",3.62538427816407e-123,0.597534603229993,0.413,0.036,3.17442272780324e-118,"Memory CD4 T","chr5-110558944-110560935"
"chr10-73838476-73849852",3.9831893451803e-123,0.525220050208159,0.619,0.13,3.48772042253332e-118,"Memory CD4 T","chr10-73838476-73849852"
"chr1-156783185-156787379",5.5180935676291e-121,0.521878374627137,0.624,0.139,4.83169790875172e-116,"Memory CD4 T","chr1-156783185-156787379"
"chr13-99736249-99740864",5.26324390977449e-120,0.515074933570068,0.623,0.143,4.60854899983764e-115,"Memory CD4 T","chr13-99736249-99740864"
"chr20-31121936-31128776",1.44452880509496e-116,0.500302023676593,0.628,0.154,1.2648438670292e-111,"Memory CD4 T","chr20-31121936-31128776"
"chr9-132628446-132632444",5.30159542236761e-115,0.57042917888848,0.424,0.046,4.64212996777931e-110,"Memory CD4 T","chr9-132628446-132632444"
"chr1-1562519-1567986",6.09685059121042e-115,0.503451349398104,0.628,0.145,5.33846334616976e-110,"Memory CD4 T","chr1-1562519-1567986"
"chr19-3274930-3277121",1.16465623613002e-114,0.549890427603202,0.499,0.081,1.01978464691781e-109,"Memory CD4 T","chr19-3274930-3277121"
"chr14-100069695-100072380",1.32583730891622e-113,0.518046065951456,0.595,0.125,1.16091640606013e-108,"Memory CD4 T","chr14-100069695-100072380"
"chr1-6519517-6521256",5.50153913928134e-113,0.589546756045989,0.362,0.027,4.81720268574613e-108,"Memory CD4 T","chr1-6519517-6521256"
"chr18-810220-813922",1.93093932790543e-109,0.516509914122464,0.545,0.109,1.69074978490727e-104,"Memory CD4 T","chr18-810220-813922"
"chr21-35319603-35323106",4.33401334173655e-107,0.509523538080915,0.554,0.118,3.79490542215794e-102,"Memory CD4 T","chr21-35319603-35323106"
"chr10-135148033-135151245",5.4782801224555e-107,0.527332253602012,0.493,0.086,4.79683685802326e-102,"Memory CD4 T","chr10-135148033-135151245"
"chr2-234176102-234177540",5.11776877398353e-106,0.556291764986867,0.386,0.04,4.48116951618772e-101,"Memory CD4 T","chr2-234176102-234177540"
"chr12-107348284-107351420",9.42460900774077e-105,0.502504233699673,0.566,0.127,8.2522818932679e-100,"Memory CD4 T","chr12-107348284-107351420"
"chr7-138436873-138438734",1.49834937473369e-102,0.557336342608305,0.413,0.048,1.31196969601057e-97,"Memory CD4 T","chr7-138436873-138438734"
"chr11-60788559-60791829",3.12037423076452e-101,0.555917907103206,0.388,0.041,2.73223088019972e-96,"Memory CD4 T","chr11-60788559-60791829"
"chr14-102283610-102288499",5.19675519274875e-100,0.526256058146541,0.426,0.063,4.55033081432273e-95,"Memory CD4 T","chr14-102283610-102288499"
"chr11-133824963-133827761",6.93439722669541e-100,0.546493866029127,0.38,0.044,6.07182755566677e-95,"Memory CD4 T","chr11-133824963-133827761"
"chr11-60753135-60755853",7.29329050336646e-99,0.550180515336149,0.379,0.04,6.38607809765271e-94,"Memory CD4 T","chr11-60753135-60755853"
"chr7-150670505-150672579",1.29956761855391e-98,0.540779759980854,0.407,0.053,1.13791440248199e-93,"Memory CD4 T","chr7-150670505-150672579"
"chr15-101136096-101138200",8.47886236520127e-98,0.54882345119866,0.334,0.031,7.42417667559388e-93,"Memory CD4 T","chr15-101136096-101138200"
"chr1-1980856-1982929",1.8141867736415e-97,0.519811246623697,0.442,0.075,1.58852008086823e-92,"Memory CD4 T","chr1-1980856-1982929"
"chr8-10872328-10874773",4.09021810134327e-97,0.512470715865301,0.471,0.082,3.58143587171718e-92,"Memory CD4 T","chr8-10872328-10874773"
"chr1-90071696-90077639",2.10814635721615e-96,0.540549813911129,0.362,0.039,1.84591403184203e-91,"Memory CD4 T","chr1-90071696-90077639"
"chr12-133484518-133486123",2.28689775134607e-96,0.503038682876562,0.507,0.107,2.00243054005613e-91,"Memory CD4 T","chr12-133484518-133486123"
"chr3-46106430-46107804",1.63680554846513e-95,0.548061712619946,0.262,0.012,1.43320330629155e-90,"Memory CD4 T","chr3-46106430-46107804"
"chr22-30831073-30832608",6.03655329541233e-95,0.543199494586254,0.347,0.035,5.28566643099599e-90,"Memory CD4 T","chr22-30831073-30832608"
"chr1-92268781-92271517",6.69016057798214e-95,0.521606942763285,0.438,0.068,5.85797150368694e-90,"Memory CD4 T","chr1-92268781-92271517"
"chr14-92301815-92303648",1.72135939350455e-94,0.534619234120213,0.363,0.045,1.50723949854652e-89,"Memory CD4 T","chr14-92301815-92303648"
"chr22-25463436-25467061",5.84212351226918e-94,0.528021818769629,0.347,0.038,5.11542176857802e-89,"Memory CD4 T","chr22-25463436-25467061"
"chr12-120449595-120453549",1.31664787341969e-92,0.540996068565824,0.319,0.027,1.15287004444502e-87,"Memory CD4 T","chr12-120449595-120453549"
"chr22-37541681-37546721",1.81978514962514e-92,0.513511549428174,0.404,0.058,1.59342207486327e-87,"Memory CD4 T","chr22-37541681-37546721"
